[0.01, 0.01]
[0.8225000000000001, 0.6800000000000004]
[0.8275000000000001, 0.6900000000000004]
[0.8325000000000001, 0.6950000000000004]
[0.8350000000000001, 0.7000000000000004]
[0.8375, 0.7050000000000004]
[0.8425, 0.7150000000000004]
[0.8475, 0.7200000000000004]
[0.85, 0.7250000000000004]
[0.8524999999999999, 0.7300000000000004]
[0.8549999999999999, 0.7350000000000004]
[0.8599999999999999, 0.7450000000000004]
[0.8649999999999999, 0.7500000000000004]
[0.8674999999999998, 0.7550000000000004]
[0.8699999999999998, 0.7600000000000005]
[0.8724999999999997, 0.7650000000000005]
[0.8774999999999997, 0.7750000000000005]
[0.8824999999999997, 0.7800000000000005]
[0.8837499999999997, 0.7825000000000004]
[0.8849999999999997, 0.7850000000000004]
[0.8874999999999996, 0.7900000000000004]
[0.8899999999999996, 0.7950000000000004]
[0.8924999999999995, 0.8000000000000004]
[0.8949999999999995, 0.8050000000000004]
[0.8999999999999995, 0.8150000000000004]
[0.9049999999999995, 0.8200000000000004]
[0.9062499999999994, 0.8225000000000003]
[0.9074999999999994, 0.8250000000000003]
[0.9087499999999994, 0.8275000000000002]
[0.9099999999999994, 0.8300000000000002]
[0.9124999999999993, 0.8350000000000002]
[0.9149999999999993, 0.8400000000000002]
[0.9174999999999992, 0.8450000000000002]
[0.9199999999999992, 0.8500000000000002]
[0.9224999999999991, 0.8550000000000002]
[0.924999999999999, 0.8600000000000002]
[0.929999999999999, 0.8700000000000002]
[0.934999999999999, 0.8750000000000002]
[0.935624999999999, 0.8762500000000002]
[0.936874999999999, 0.8787500000000001]
[0.938124999999999, 0.8812500000000001]
[0.939374999999999, 0.88375]
[0.9406249999999989, 0.88625]
[0.9418749999999989, 0.8887499999999999]
[0.9431249999999989, 0.8912499999999999]
[0.9443749999999989, 0.8937499999999998]
[0.9456249999999988, 0.8962499999999998]
[0.9468749999999988, 0.8987499999999997]
[0.9493749999999987, 0.9037499999999997]
[0.9518749999999987, 0.9087499999999997]
[0.9543749999999986, 0.9137499999999997]
[0.9568749999999986, 0.9187499999999997]
[0.9593749999999985, 0.9237499999999997]
[0.9618749999999985, 0.9287499999999997]
[0.9643749999999984, 0.9337499999999997]
[0.9668749999999984, 0.9387499999999998]
[0.9693749999999983, 0.9437499999999998]
[0.9718749999999983, 0.9487499999999998]
[0.9743749999999982, 0.9537499999999998]
[0.9768749999999982, 0.9587499999999998]
[0.9793749999999981, 0.9637499999999998]
[0.981874999999998, 0.9687499999999998]
[0.984374999999998, 0.9737499999999998]
[0.986874999999998, 0.9787499999999998]
[0.9893749999999979, 0.9837499999999998]
[0.9918749999999978, 0.9887499999999998]
[0.9943749999999978, 0.9937499999999998]
[0.9968749999999977, 0.9987499999999998]
[0.9993749999999977, 1.0037499999999997]
[1.0018749999999976, 1.0062499999999996]
[1.0031249999999976, 1.0074999999999996]
[1.0037499999999977, 1.0081249999999997]
[1.0040624999999976, 1.0084374999999997]
[1.0042187499999977, 1.0085937499999997]
[1.0042968749999976, 1.0086718749999997]
